"symbol","ensembl","log2FoldChange","padj","significance"
"BUB1B","ENSG00000156970",2.72889732260337,4.42071381084187e-20,"Up"
"NCAPH","ENSG00000121152",1.97332029801478,5.45885459501948e-20,"Up"
"GLDC","ENSG00000178445",3.54812213369484,5.4684054799055e-20,"Up"
"RAD54L","ENSG00000085999",2.797558459596,5.80867465206116e-20,"Up"
"IGHV1-46","ENSG00000211962",3.23474853908106,9.77864443686129e-20,"Up"
"KIF14","ENSG00000118193",2.71105452045605,1.13239664424787e-19,"Up"
"IGLV3-27","ENSG00000211658",4.1549141029487,1.3586074974628e-19,"Up"
"TXNDC5","ENSG00000239264",2.30293995445736,1.51456732901314e-19,"Up"
"JCHAIN","ENSG00000132465",3.3583685289424,1.75425444439003e-19,"Up"
"MTDH","ENSG00000147649",0.485822873329483,1.9462812425281e-19,"NS"
"NEK2","ENSG00000117650",2.92984104627491,2.32995422875295e-19,"Up"
"NUF2","ENSG00000143228",2.12449915250583,2.95205193475774e-19,"Up"
"CKAP2L","ENSG00000169607",3.18736958222064,3.58578739628302e-19,"Up"
"CCNB1","ENSG00000134057",2.27681817603379,3.58578739628302e-19,"Up"
"SLCO4A1","ENSG00000101187",2.86957634465976,9.47488639029997e-19,"Up"
"IGKV3-15","ENSG00000244437",2.75168370204729,1.30142892873946e-18,"Up"
"MCM4","ENSG00000104738",1.70695521122336,2.22518630623854e-18,"Up"
"TNFRSF17","ENSG00000048462",3.1710254060082,2.82755007668792e-18,"Up"
"RFFL","ENSG00000092871",-0.758704572981134,3.55571755415024e-18,"NS"
"ESCO2","ENSG00000171320",2.60139700023016,4.07621182278248e-18,"Up"
"IGHG1","ENSG00000211896",4.87121111299084,5.66147052079382e-18,"Up"
"SPC24","ENSG00000161888",2.799482282601,7.18240310127739e-18,"Up"
"IGHV3-23","ENSG00000211949",2.73052726107294,1.61476266873919e-17,"Up"
"PRDX4","ENSG00000123131",1.02745098629725,1.89876873174365e-17,"Up"
"SEC11C","ENSG00000166562",1.23553813398381,3.63281757981367e-17,"Up"
"CENPF","ENSG00000117724",2.08461893571156,3.74249368455773e-17,"Up"
"ORC1","ENSG00000085840",2.54563455262534,4.54794804610573e-17,"Up"
"PCLAF","ENSG00000166803",3.16392967097129,4.68766659971925e-17,"Up"
"IGKV1-17","ENSG00000240382",2.72042828058542,5.07494251219316e-17,"Up"
"IGKV4-1","ENSG00000211598",3.04872510924303,5.8609054390971e-17,"Up"
"DEPDC1B","ENSG00000035499",2.82463577541431,5.8609054390971e-17,"Up"
"TFDP1","ENSG00000198176",0.736859548697786,7.22151325285467e-17,"NS"
"TEDC2","ENSG00000162062",2.33848096547293,7.22151325285467e-17,"Up"
"CDKN3","ENSG00000100526",2.63429747874928,7.90083899884487e-17,"Up"
"DEPDC1","ENSG00000024526",3.49952804081642,1.06451144857436e-16,"Up"
"IGHV3-21","ENSG00000211947",2.98683230510974,1.09957500034549e-16,"Up"
"CLU","ENSG00000120885",2.85371788097658,1.49051956884024e-16,"Up"
"CDC25C","ENSG00000158402",3.8301837131209,1.59320118607999e-16,"Up"
"CDCA8","ENSG00000134690",1.81660693377734,1.65650485202876e-16,"Up"
"IGLV2-14","ENSG00000211666",3.00530609351189,1.68207322977152e-16,"Up"
"DIAPH3","ENSG00000139734",3.15689634861539,1.88908004989396e-16,"Up"
"SKA3","ENSG00000165480",3.23599461154339,1.94247312119909e-16,"Up"
"ITM2C","ENSG00000135916",1.5018098193417,1.96057720563892e-16,"Up"
"EXO1","ENSG00000174371",2.7017254076781,1.97981170857202e-16,"Up"
"C1QC","ENSG00000159189",3.3028278852793,2.15440940517196e-16,"Up"
"PLK4","ENSG00000142731",1.54293914307764,2.82366771383883e-16,"Up"
"STIL","ENSG00000123473",1.81140226313376,3.06435653603186e-16,"Up"
"IGHV3-33","ENSG00000211955",3.24376338848494,3.52611152764352e-16,"Up"
"HMGA1","ENSG00000137309",0.878186837676219,3.61029243954342e-16,"NS"
"IGLV7-46","ENSG00000211649",3.49986063601795,3.61029243954342e-16,"Up"
"HMGB3","ENSG00000029993",1.79203553454037,3.84536176391138e-16,"Up"
"MELK","ENSG00000165304",3.01770795752114,6.25644641509837e-16,"Up"
"GALNT14","ENSG00000158089",3.08510992922216,6.77674752692454e-16,"Up"
"TTK","ENSG00000112742",2.51424875758253,1.13980419783227e-15,"Up"
"H2BC12","ENSG00000197903",1.14193216191845,1.24575881801182e-15,"Up"
"IGHV3-69-1","ENSG00000282600",3.51091090578383,1.3366719955889e-15,"Up"
"ROMO1","ENSG00000125995",0.623611574048193,1.47210111879349e-15,"NS"
"IGHV5-51","ENSG00000211966",2.6322032837519,1.89938550889155e-15,"Up"
"IGKV1-12","ENSG00000243290",3.45547746077405,2.08268678681887e-15,"Up"
"DYNC2I2","ENSG00000119333",1.29492680950212,2.08268678681887e-15,"Up"
"KNL1","ENSG00000137812",2.11683718456566,2.22580849329684e-15,"Up"
"NDUFB9","ENSG00000147684",0.639156688729327,2.61445654773752e-15,"NS"
"IGKV5-2","ENSG00000211599",3.3922505794467,3.17773625480265e-15,"Up"
"CHPF","ENSG00000123989",1.27508951751854,1.57516835607208e-14,"Up"
"LINC03034","ENSG00000259772",2.01919337678242,1.57516835607208e-14,"Up"
"FAM20A","ENSG00000108950",2.99347558181118,1.78874637672971e-14,"Up"
"RECQL4","ENSG00000160957",1.50146882743212,1.92870752265608e-14,"Up"
"SNRNP25","ENSG00000161981",1.104770866157,2.00781365548116e-14,"Up"
"IGLV2-23","ENSG00000211660",3.34002173375623,2.38103990471967e-14,"Up"
"SPATS2","ENSG00000123352",1.0556697932656,2.62319615551571e-14,"Up"
"PTGR1","ENSG00000106853",2.61997500622239,3.41540423317629e-14,"Up"
"TXNL4A","ENSG00000141759",0.411472851041016,3.69773922709827e-14,"NS"
"MYL9","ENSG00000101335",2.97799777875524,4.05447695189578e-14,"Up"
NA,"ENSG00000256663",4.06312357966726,5.52690166888019e-14,"Up"
"IGLV3-25","ENSG00000211659",4.10929131105134,5.98230216999132e-14,"Up"
"FANCI","ENSG00000140525",1.21415605365508,7.02645335596268e-14,"Up"
"MYDGF","ENSG00000074842",0.932079651001981,7.22757496817174e-14,"NS"
"TSHR","ENSG00000165409",2.11996575026403,7.55717247865731e-14,"Up"
"DHFR","ENSG00000228716",1.74454688265838,8.36205497250994e-14,"Up"
